COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
855;1;CALLE;DE;FRANCISCO IÑIGUEZ ALMECH;FRANCISCO ÍÑIGUEZ ALMECH;29/03/1990;;V
856;1;PLAZA;DE;NUESTRA SEÑORA DE LA CANDELARIA;NUESTRA SEÑORA DE LA CANDELARIA;29/03/1990;;V
857;1;GLORIETA;DEL;YUCATAN;YUCATÁN;27/04/1990;;V
858;1;AVENIDA;DE LOS;ANDES;ANDES;27/04/1990;;V
859;1;AVENIDA;DE;MACHUPICHU;MACHUPICHU;27/04/1990;;V
860;1;CALLE;DE;DOÑA GUIOMAR;DOÑA GUIOMAR;27/04/1990;;V
861;1;GLORIETA;DE;SAN MARTIN DE LA VEGA;SAN MARTÍN DE LA VEGA;27/04/1990;;V
862;1;TRAVESÍA;DE;SANTA MARIA MAGDALENA;SANTA MARÍA MAGDALENA;27/04/1990;;V
863;1;PLAZA;DEL;DESCUBRIDOR DIEGO DE ORDAS;DESCUBRIDOR DIEGO DE ORDÁS;27/04/1990;;V
864;1;CALLE;DE;PUERTO REAL;PUERTO REAL;27/04/1990;;V
865;1;CALLE;DE;BRAOJOS;BRAOJOS;27/04/1990;;V
868;1;CALLE;DEL;PUERTO DE MIRAVETE;PUERTO DE MIRAVETE;31/05/1990;;V
869;1;CALLE;DEL;PUERTO DE LA CRUZ VERDE;PUERTO DE LA CRUZ VERDE;31/05/1990;;V
870;1;CALLE;DEL;TEJO;TEJO;31/05/1990;;V
871;1;CALLE;DEL;JACARANDA;JACARANDA;31/05/1990;;V
872;1;CALLE;DEL;ALMEZ;ALMEZ;31/05/1990;;V
873;1;CALLE;DEL;ACANTO;ACANTO;31/05/1990;;V
874;1;CALLE;DE LA;RETAMA;RETAMA;31/05/1990;;V
875;1;CALLE;DEL;OMBU;OMBÚ;31/05/1990;;V
876;1;CALLE;DE LA;KENTIA;KENTIA;31/05/1990;;V
877;1;CALLE;DEL;TAMARINDO;TAMARINDO;31/05/1990;;V
878;1;CALLE;DE;DENIA;DENIA;31/05/1990;;V
879;1;CALLE;DE;VALLDEMOSA;VALLDEMOSA;31/05/1990;;V
