COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;VIA_NOMBRE_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;VIA_NOMBRE_TERMINA
00670000;CALLE;DE;SAN GERARDO;00287850;CALLE;DE;FEDERICO CARLOS SAINZ DE ROBLES;634600;CALLE;DE;REGINA ÁLVAREZ
00670200;PLAZA;DE;SAN GERMÁN;00373400;CALLE;DE LA;INFANTA MERCEDES;369100;CALLE;DE;HUESCA
00670300;CALLE;DE;SAN GERVASIO;00678700;AVENIDA;DE;LOS ROSALES;31000022;CALLE;DEL;AMERICIO
00670400;PASADIZO;DE;SAN GINÉS;00068300;CALLE;DEL;ARENAL;670500;PLAZA;DE;SAN GINÉS
00670500;PLAZA;DE;SAN GINÉS;00200600;CALLE;DE LOS;COLOREROS;112100;CALLE;DE LOS;BORDADORES
00670600;CALLE;DE;SAN GRACIANO;00468400;AVENIDA;DEL;MANZANARES;59400;CALLE;DE;ANTONIO LÓPEZ
00670700;CALLE;DE;SAN GREGORIO;00344000;CALLE;DE;GRAVINA;99100;CALLE;DE;BELÉN
00670900;CALLE;DE;SAN GUMERSINDO;00018900;CALLE;DE;ALCALÁ;79550;CALLE;DE;ASTORGA
00671050;CALLE;DE;SAN HERCULANO;00677900;CALLE;DE;SAN MARIANO;764500;CALLE;DE;VALDERROBRES
00671100;CALLE;DE;SAN HERMENEGILDO;00661700;CALLE;DE;SAN BERNARDO;40700;CALLE;DE;AMANIEL
00671200;CALLE;DE;SAN HIGINIO;00257400;CALLE;DE;GANDHI;99000001;LUGAR;;FONDO DE SACO
00671300;CALLE;DE;SAN HILARIO;00667400;CALLE;DE;SAN FAUSTINO;1894;AUTOVIA;;M-40
00671600;CALLE;DE;SAN IGNACIO DE LOYOLA;00013600;CALLE;DEL;ÁLAMO;638700;CALLE;DE LOS;REYES
00671700;PLAZA;DE;SAN IGNACIO DE LOYOLA;00104000;CALLE;DE;BERANGO;259100;CALLE;DE;EIBAR
00671800;CALLE;DE;SAN ILDEFONSO;00666700;CALLE;DE;SAN EUGENIO;695600;CALLE;DE;SANTA INÉS
00671900;PLAZA;DE;SAN ILDEFONSO;00212300;CALLE;DE LA;CORREDERA ALTA DE SAN PABLO;93200;CALLE;DEL;BARCO
00672000;PASEO;DE;SAN ILLÁN;00270500;PASEO;DE LA;ERMITA DEL SANTO;468400;AVENIDA;DEL;MANZANARES
00672300;CALLE;DE;SAN ISIDORO DE SEVILLA;00743600;CALLE;DE;TOLEDO;2900;PASEO;DE LAS;ACACIAS
00672400;TRAVESIA;DE;SAN ISIDORO DE SEVILLA;00672300;CALLE;DE;SAN ISIDORO DE SEVILLA;917;PASEO;DEL;DOCTOR VALLEJO NÁGERA
00905973;PUENTE;DE;SAN ISIDRO;00500700;PASEO;DE LOS;MELANCÓLICOS;270500;PASEO;DE LA;ERMITA DEL SANTO
00672600;CALLE;DE;SAN ISIDRO LABRADOR;00048600;CALLE;DEL;ÁNGEL;248500;CALLE;DE;DON PEDRO
00672700;CALLE;DE;SAN JAIME;00002247;GLORIETA;DE;VALDEPERDICES;716900;CALLE;DE LA;SIERRA DE GUADALUPE
00002720;PLAZA;DE;SAN JAIME;00002872;CALLE;DE LA;SIERRA GÁDOR;672700;CALLE;DE;SAN JAIME
00672900;PLAZA;DE;SAN JAVIER;00204200;CALLE;DEL;CONDE;99000001;LUGAR;;FONDO DE SACO
00673000;CALLE;DE;SAN JENARO;00020800;CALLE;DE;ALCOCER;31000669;AVENIDA;DE LA;GRAN VÍA DE VILLAVERDE
00673100;CARRERA;DE;SAN JERÓNIMO;00614900;PLAZA;DE LA;PUERTA DEL SOL;216100;PLAZA;DE LAS;CORTES
00673200;CALLE;DE;SAN JOAQUÍN;00313100;CALLE;DE;FUENCARRAL;671900;PLAZA;DE;SAN ILDEFONSO
00673300;CALLE;DE;SAN JORGE;00713550;CALLE;DE LA;SIERRA DE ALQUIFE;691300;CALLE;DE;SANTA ALICIA
31003166;CAMINO;DE;SAN JORGE;31003167;CAMINO;DE LOS;ALBAÑILES;31002267;LUGAR;;CUARTEL DE SAN JORGE
00673400;CALLE;DE;SAN JOSÉ;00369000;CALLE;DE LAS;HUERTAS;522300;CALLE;DE;MORATÍN
00674200;PLAZUELA;DE;SAN JUAN;00522300;CALLE;DE;MORATÍN;696700;CALLE;DE;SANTA MARÍA
00674500;CALLE;DE;SAN JUAN BOSCO;00489700;CALLE;DE;MARTÍN DE LOS HEROS;295600;CALLE;DE;FERRAZ
00674350;CALLE;DE;SAN JUAN DE ÁVILA;99000001;LUGAR;;FONDO DE SACO;78700;CALLE;DE;ARTURO SORIA
